Date;USD(won)
2021-09-01;1157.2
2021-09-02;1161.5
2021-09-03;1157
2021-09-06;1156.5
2021-09-07;1157.8
2021-09-08;1166.7
2021-09-09;1169.2
2021-09-10;1169.1
2021-09-13;1176
2021-09-14;1170.8
2021-09-15;1170.5
2021-09-16;1171.8
2021-09-17;1175
2021-09-23;1175.5
2021-09-24;1176.5
2021-09-27;1176.8
2021-09-28;1184.4
2021-09-29;1181.8
2021-09-30;1184
2021-10-01;1188.7
2021-10-05;1188.7
2021-10-06;1192.3
2021-10-07;1190.4
2021-10-08;1194.6
2021-10-12;1198.8
2021-10-13;1193.8
2021-10-14;1186.8
2021-10-15;1182.4
2021-10-18;1187.6
2021-10-19;1178.7
2021-10-20;1174.2
2021-10-21;1177.2
2021-10-22;1177.1
2021-10-25;1168.4
2021-10-26;1167.6
2021-10-27;1170
2021-10-28;1169.7
2021-10-29;1168.6
2021-11-01;1176.5
2021-11-02;1174.4
2021-11-03;1181.6
2021-11-04;1182.6
2021-11-05;1185.2
2021-11-08;1183.1
2021-11-09;1177.2
2021-11-10;1180.9
2021-11-11;1180.8
2021-11-12;1179.6
2021-11-15;1178.4
2021-11-16;1179.9
2021-11-17;1182.5
2021-11-18;1180.4
2021-11-19;1185.3
2021-11-22;1185.1
2021-11-23;1189.7
2021-11-24;1186.5
2021-11-25;1190.2
2021-11-26;1193.3
2021-11-29;1193
2021-11-30;1187.9
2021-12-01;1179.2
2021-12-02;1175.9
2021-12-03;1180.1
2021-12-06;1183
2021-12-07;1179.5
2021-12-08;1175.9
2021-12-09;1174.5
2021-12-10;1181.3
2021-12-13;1180.8
2021-12-14;1182.6
2021-12-15;1185.2
2021-12-16;1183.9
2021-12-17;1180.9
2021-12-20;1190.8
2021-12-21;1192.9
2021-12-22;1192
2021-12-23;1187.9
2021-12-24;1186.6
2021-12-27;1186.8
2021-12-28;1188
2021-12-29;1186.5
2021-12-30;1188.8
2022-01-03;1191.8
2022-01-04;1194.1
2022-01-05;1196.9
2022-01-06;1201
2022-01-07;1201.5
2022-01-10;1199.1
2022-01-11;1194.7
2022-01-12;1190.5
2022-01-13;1187.5
2022-01-14;1187.3
2022-01-17;1192.7
2022-01-18;1190.1
2022-01-19;1191.7
2022-01-20;1192.4
2022-01-21;1194
2022-01-24;1196.1
2022-01-25;1198.6
2022-01-26;1197.7
2022-01-27;1202.8
2022-01-28;1205.5
2022-02-03;1206.4
2022-02-04;1197
2022-02-07;1200.7
2022-02-08;1197.7
2022-02-09;1196.5
2022-02-10;1196.5
2022-02-11;1198.5
2022-02-14;1191.1
2022-02-15;1199.8
2022-02-16;1196.7
2022-02-17;1197.1
2022-02-18;1195.9
2022-02-21;1192.1
2022-02-22;1192.7
2022-02-23;1193.6
2022-02-24;1202.4
2022-02-25;1201.6
2022-02-28;1202.3
2022-03-02;1206.1
2022-03-03;1204.6
2022-03-04;1214.2
2022-03-07;1227.1
2022-03-08;1237
2022-03-10;1228.3
2022-03-11;1232
2022-03-14;1242.3
2022-03-15;1242.8
2022-03-16;1235.7
2022-03-17;1214.3
2022-03-18;1207.6
2022-03-21;1216.3
2022-03-22;1218.1
2022-03-23;1213.8
2022-03-24;1218.8
2022-03-25;1218.8
2022-03-28;1227.3
2022-03-29;1219.8
2022-03-30;1209.6
2022-03-31;1212.1
2022-04-01;1215.5
2022-04-04;1214.4
2022-04-05;1212.7
2022-04-06;1218.3
2022-04-07;1219.5
2022-04-08;1225.1
2022-04-11;1233.1
2022-04-12;1236.2
2022-04-13;1228
2022-04-14;1224.7
2022-04-15;1229.6
2022-04-18;1234.4
2022-04-19;1236.9
2022-04-20;1236.1
2022-04-21;1239
2022-04-22;1239.1
2022-04-25;1249.9
2022-04-26;1250.8
2022-04-27;1265.2
2022-04-28;1272.5
2022-04-29;1255.9
2022-05-02;1265.1
2022-05-03;1267.8
2022-05-04;1266.3
2022-05-06;1272.7
2022-05-09;1274
2022-05-10;1276.4
2022-05-11;1275.3
2022-05-12;1288.6
2022-05-13;1284.2
2022-05-16;1284.1
2022-05-17;1275
2022-05-18;1266.6
2022-05-19;1277.7
2022-05-20;1268.1
2022-05-23;1264.1
2022-05-24;1266.2
2022-05-25;1264.6
2022-05-26;1267
2022-05-27;1256.2
2022-05-30;1238.6
2022-05-31;1237.2
2022-06-02;1252.1
2022-06-03;1242.7
2022-06-07;1257.7
2022-06-08;1253.8
2022-06-09;1256.9
2022-06-10;1268.9
2022-06-13;1284
2022-06-14;1286.4
2022-06-15;1290.5
2022-06-16;1285.6
2022-06-17;1287.3
2022-06-20;1292.4
2022-06-21;1293.6
2022-06-22;1297.3
2022-06-23;1301.8
2022-06-24;1298.2
2022-06-27;1286.5
2022-06-28;1283.4
2022-06-29;1299
2022-06-30;1298.4
2022-07-01;1297.3
2022-07-04;1297.1
2022-07-05;1300.3
2022-07-06;1306.3
2022-07-07;1299.8
2022-07-08;1300.4
2022-07-11;1303.9
2022-07-12;1312.1
2022-07-13;1306.9
2022-07-14;1312.1
2022-07-15;1326.1
2022-07-18;1317.4
2022-07-19;1313.4
2022-07-20;1312.9
2022-07-21;1307.7
2022-07-22;1313
2022-07-25;1313.7
2022-07-26;1307.6
2022-07-27;1313.3
2022-07-28;1296.1
2022-07-29;1299.1
2022-08-01;1304
2022-08-02;1304.7
2022-08-03;1310.3
2022-08-04;1310.1
2022-08-05;1298.3
2022-08-08;1306.4
2022-08-09;1304.6
2022-08-10;1310.4
2022-08-11;1303
2022-08-12;1302.4
2022-08-16;1308.1
2022-08-17;1310.3
2022-08-18;1320.7
2022-08-19;1325.9
2022-08-22;1339.8
2022-08-23;1345.5
2022-08-24;1342.1
2022-08-25;1335.2
2022-08-26;1331.3
2022-08-29;1350.4
2022-08-30;1346.7
2022-08-31;1337.6
2022-09-01;1354.9
2022-09-02;1362.6
2022-09-05;1371.4
2022-09-06;1371.7
2022-09-07;1384.2
2022-09-08;1380.8
2022-09-13;1373.6
2022-09-14;1390.9
2022-09-15;1393.7
2022-09-16;1388
2022-09-19;1393.6
2022-09-20;1389.5
2022-09-21;1394.2
2022-09-22;1409.7
2022-09-23;1409.3
2022-09-26;1431.3
2022-09-27;1421.5
2022-09-28;1439.9
2022-09-29;1438.9
2022-09-30;1430.2
2022-10-04;1426.5
2022-10-05;1410.1
2022-10-06;1402.4
2022-10-07;1412.4
2022-10-11;1435.2
2022-10-12;1424.9
2022-10-13;1431.3
2022-10-14;1428.5
2022-10-17;1435.3
2022-10-18;1422.7
2022-10-19;1426.2
2022-10-20;1433.3
2022-10-21;1439.8
2022-10-24;1439.7
2022-10-25;1433.1
2022-10-26;1426.6
2022-10-27;1417
2022-10-28;1421.5
2022-10-31;1424.3
2022-11-01;1417.2
2022-11-02;1417.4
2022-11-03;1423.8
2022-11-04;1419.2
2022-11-07;1401.2
2022-11-08;1384.9
2022-11-09;1364.8
2022-11-10;1377.5
2022-11-11;1318.4
2022-11-14;1325.9
2022-11-15;1317.6
2022-11-16;1325
2022-11-17;1339.1
2022-11-18;1340.3
2022-11-21;1354.7
2022-11-22;1356.6
2022-11-23;1351.8
2022-11-24;1328.2
2022-11-25;1323.7
2022-11-28;1340.2
2022-11-29;1326.6
2022-11-30;1318.8
2022-12-01;1299.7
2022-12-02;1299.9
2022-12-05;1292.6
2022-12-06;1318.8
2022-12-07;1321.7
2022-12-08;1318
2022-12-09;1301.3
2022-12-12;1307.2
2022-12-13;1306
2022-12-14;1296.3
2022-12-15;1303.1
2022-12-16;1305.4
2022-12-19;1302.9
2022-12-20;1289.6
2022-12-21;1285.7
2022-12-22;1276.2
2022-12-23;1280.8
2022-12-26;1274.8
2022-12-27;1271.4
2022-12-28;1267
2022-12-29;1264.5
2023-01-02;1272.6
2023-01-03;1271
2023-01-04;1271.7
2023-01-05;1269.4
2023-01-06;1268.6
2023-01-09;1243.5
2023-01-10;1244.7
2023-01-11;1246.2
2023-01-12;1245.8
2023-01-13;1241.3
2023-01-16;1235.3
2023-01-17;1238.7
2023-01-18;1237.4
2023-01-19;1232.1
2023-01-20;1235.5
2023-01-25;1231.7
2023-01-26;1230.7
2023-01-27;1231.3
2023-01-30;1227.4
2023-01-31;1231.9
2023-02-01;1231.3
2023-02-02;1220.3
2023-02-03;1229.4
2023-02-06;1252.8
2023-02-07;1255.3
2023-02-08;1260.1
2023-02-09;1260.4
2023-02-10;1265.2
2023-02-13;1277.3
2023-02-14;1269.4
2023-02-15;1282.2
2023-02-16;1284.8
2023-02-17;1299.5
2023-02-20;1294.5
2023-02-21;1295.9
2023-02-22;1304.9
2023-02-23;1297.1
2023-02-24;1304.8
2023-02-27;1323
2023-02-28;1322.6
2023-03-02;1315.6
2023-03-03;1301.6
2023-03-06;1296.9
2023-03-07;1299.4
2023-03-08;1321.4
2023-03-09;1322.2
2023-03-10;1324.2
2023-03-13;1301.8
2023-03-14;1311.1
2023-03-15;1303.7
2023-03-16;1313
2023-03-17;1302.2
2023-03-20;1310.5
2023-03-21;1311.2
2023-03-22;1307.7
2023-03-23;1278.3
2023-03-24;1294.3
2023-03-27;1301.5
2023-03-28;1298.8
2023-03-29;1302.7
2023-03-30;1299